created_at,location,Capres,Tweet,Translation,Compound_Score,Sentiments
Thu Feb 01 23:57:54 +0000 2024,,prabowo,politik mahal langgar ham langgar konstitusi jokowi keluar duit rakyat langgeng kuasa keluarga,expensive politics violates human rights violates the constitution Jokowi takes out people's money and maintains family power,-0.765,Negatif
Thu Feb 01 23:57:45 +0000 2024,ISEKAI,prabowo,anies kucing kaki pinter mijit skill ketimbang kucing prabowo,Anies's cat has smarter feet and more skills than Prabowo's cat,0.4588,Positif
Thu Feb 01 23:57:41 +0000 2024,,prabowo,lhah emang mahfud suruh mundur prabowo koloni mahfud ribut nyuruh ps mundur mahfud ikhlas mundur yaa ambil aja surat ngono ae repot,"Oh, it's true that Mahfud ordered Prabowo to resign. Mahfud's colony made a lot of noise asking PS to resign. Mahfud is sincere about resigning. Just take the letter and say no, it's a hassle.",-0.0516,Negatif
Thu Feb 01 23:57:38 +0000 2024,indonesia,prabowo,hasil survei roy morgan prabowo gibran ambang persen,roy morgan prabowo gibran threshold percent survey results,0.0,Netral
Thu Feb 01 23:57:26 +0000 2024,"Surakarta, Jawa Tengah",prabowo,rem bener prabowo pedenya kayak survei abal abal tebal,"Prabowo's brakes are really confident, like a thick fake survey",0.489,Positif
Thu Feb 01 23:57:21 +0000 2024,JKT - Seoul,prabowo,gagah waktu nyulik demonstran klo skr udh tahun udh stroke asam sulfat asam urat jalan pincang bilang gagah sorry yeee sorry yeee sorry yeee,"dashing, when he kidnapped demonstrators, now it's already a year since he had a stroke, sulfuric acid, gout, limping, saying dashing, sorry yeee sorry yeee sorry yeee",-0.2263,Negatif
Thu Feb 01 23:57:20 +0000 2024,,prabowo,harap prabowo gibran bawa negeri sinar matahari sinar pagi,I hope Prabowo Gibran will bring sunshine to the land of morning light,0.7269,Positif
Thu Feb 01 23:57:03 +0000 2024,,prabowo,prabowo bicara publik buzzer,Prabowo speaks public buzzer,0.0,Netral
Thu Feb 01 23:57:01 +0000 2024,"Jambi, Indonesia",prabowo,pandai rangkai ente liat hasil kerja dki prestasi prabowo gibran culi hasil putus mk bgm carut marut yaaa,good at arranging you see the results of dki's work prabowo gibran culi's achievements the results of breaking up mk how to mess up yaaa,0.1027,Positif
Thu Feb 01 23:56:57 +0000 2024,"Kota Makassar,Sulawesi Selatan",prabowo,fanatik jokowi peduli anis prabowo amin tunggu tarik jokowi sembelih banteng agree pilpres,"Jokowi fanatics care about Anis Prabowo, amen, wait for Jokowi to slaughter the bull, agree on the presidential election",0.6908,Positif
Thu Feb 01 23:56:55 +0000 2024,"Binjai, Indonesia",prabowo,kasihan prabowo joget kayak paksa tegang raut wajah joget riang gembira lelah proses umur muda maksakan,"It's a pity that Prabowo is dancing like he's being forced, the expression on his face is dancing cheerfully and tiredly, tired of the process of being forced to live at a young age",-0.6705,Negatif
Thu Feb 01 23:56:54 +0000 2024,"Sukabumi, Indonesia",prabowo,sulit istilah pakai kait rebut tanah sepele,"It's difficult to use a hook to grab land, it's trivial",-0.3818,Negatif
Thu Feb 01 23:56:45 +0000 2024,indonesia,prabowo,prabowo pimpin rakyat indonesia,Prabowo leads the Indonesian people,0.0,Netral
Thu Feb 01 23:56:38 +0000 2024,Indonesia,prabowo,hasyim hasyimm gak butuh prabowo sorry yeee sorry yeee,Hasyim Hasyimm no need for Prabowo sorry yeee sorry yeee,-0.4215,Negatif
Thu Feb 01 23:56:36 +0000 2024,"DKI Jakarta, Indonesia",prabowo,nyulik bantai pecat tni trus salah mana asalbukanprabowo,"kidnapped, massacred, fired the military, then where's the blame, as long as it's not Prabowo?",-0.7184,Negatif
Thu Feb 01 23:56:34 +0000 2024,Jakarta,prabowo,lokasi kampanye prabowo gibran jumat februari klynews,Prabowo Gibran campaign location Friday February Klynews,0.0,Netral
Thu Feb 01 23:56:27 +0000 2024,"Kota Mataram, Nusa Tenggara Ba",prabowo,prabowo jalan aja udah susah turun tangga aja papah gimana lompat,"Prabowo just walks, it's already hard to go down the stairs, it's hard to jump",-0.2023,Negatif
Thu Feb 01 23:56:21 +0000 2024,,prabowo,emang you ngerasa kah klo prabowo salah bilang gaza palestina pdhl wilayah jajah isriwil gaza west bank donasi cium bendera liat apa saat bedain perang genosida,"Do you really feel that it was wrong for Prabowo to say Gaza Palestine even though the Isriwil colony, Gaza West, bank donate, kiss the flag, what do you see when differentiating between genocide wars?",-0.5994,Negatif
Thu Feb 01 23:56:12 +0000 2024,,prabowo,patih gajah mada jalan ngga pincang edit,"Patih Gajah Mada doesn't walk with a limp, edit",0.0,Netral
